concert_time,Applause_N,Event,Actor,Event_Type,Montage_time,Stream_time,Stream_Time_old,concert_time_old
6939.6,10,bow,Musicians,Stage_act,311,8926,,
6942.6,10,Three musicians start to sit,Musicians,Stage_act,314,8929,8579,6944.6
6942.6,10,Violinist towards mic,Musicians,Stage_act,314,8929,,
6948.6,10,Violinist at mic,Musicians,Stage_act,320,8935,,
6949.6,10,Violinist says Takk,Musicians,Stage_act,321,8936,8586,6951.6
6955.6,10,Clapping End,Audience,Last_Clap,327,8942,8590.1,6955.7
6955.6,10,Violinist begins to speak,Musicians,Stage_act,327,8942,8590.1,6955.7
7167.6,11,Analysis,Montage,seg,329,9154,,
7170.6,11,Last note,Music,Stage_act,332,9157,8805.7,7171.3
7172.6,11,Clapping Start,Audience,First_Clap,334,9159,8807.1,7172.7
7172.6,11,Start to stand,Musicians,Stage_act,334,9159,8806,7171.6
7177.6,11,Bow,Musicians,Stage_act,339,9164,,
7181.6,11,Three musicians seated,Musicians,Stage_act,343,9168,8818,7183.6
7184.6,11,Violinist towards mic,Musicians,Stage_act,346,9171,8820,7185.6
7190.6,11,Violinist at mic,Musicians,Stage_act,352,9177,,
7191.6,11,Clapping End,Audience,Last_Clap,353,9178,8826.5,7192.1
7192.6,11,Violinist begins to speak,Musicians,Stage_act,354,9179,8827.3,7192.9
7522.6,12,Analysis,Montage,seg,355,9509,,
7525.6,12,Last note,Music,Stage_act,358,9512,9159.2,7524.8
7532.6,12,Silence,Music,Stage_act,365,9519,9164.7,7530.3
7537.6,12,Release instruments,Musicians,Stage_act,370,9524,9174,7539.6
7540.6,12,Clapping Start,Audience,First_Clap,373,9527,9174.6,7540.2
7541.6,12,Musicians all standing,Musicians,Stage_act,374,9528,9178,7543.6
7546.6,12,Bow,Musicians,Stage_act,379,9533,,
7547.6,12,Three musicians start to sit,Musicians,Stage_act,380,9534,,
7552.6,12,Violinist toward mic,Musicians,Stage_act,385,9539,9186,7552.6
7555.6,12,Clapping End,Audience,Last_Clap,388,9542,9190.4,7556
7555.6,12,Violinist at mic,Musicians,Stage_act,388,9542,,
7556.6,12,Violinist begins to speak,Musicians,Stage_act,389,9543,9191.3,7556.9
7744.6,13,Analysis,Montage,seg,390,9731,,
7744.6,13,Last note,Music,Stage_act,390,9731,9381.1,7746.7
7747.6,13,Silence,Music,Stage_act,393,9734,,
7750.6,13,Release instruments,Musicians,Stage_act,396,9737,9385,7750.6
7751.6,13,Clapping Start,Audience,First_Clap,397,9738,9385.5,7751.1
7751.6,13,Start to stand,Musicians,Stage_act,397,9738,,
7755.6,13,bow,Musicians,Stage_act,401,9742,,
7759.6,13,Violinist toward mic,Musicians,Stage_act,405,9746,9394,7759.6
7759.6,13,Start to sit,Musicians,Stage_act,405,9746,,
7762.6,13,Violinist at mic,Musicians,Stage_act,408,9749,,
7764.6,13,Clapping End,Audience,Last_Clap,410,9751,9399.1,7764.7
7765.6,13,Violinist begins to speak,Musicians,Stage_act,411,9752,9400.1,7765.7
7766.6,14,Analysis,Montage,seg,412,9753,,
7773.6,14,Last word V,Musicians,Stage_act,419,9760,9407.1,7772.7
7774.6,14,Violinist Step away,Musicians,Stage_act,420,9761,9407.7,7773.3
7776.6,14,MC towards mic,MC,Stage_act,422,9763,,
7777.6,14,Clapping Start,Audience,First_Clap,423,9764,9408.8,7774.4
7780.6,14,MC starts talking,MC,Stage_act,426,9767,9412.6,7778.2
7781.6,14,Clapping End,Audience,Last_Clap,427,9768,9413.8,7779.4
8039.6,15,Analysis,Montage,seg,432,10026,,
8044.6,15,Last note,Music,Stage_act,437,10031,9678.5,8044.1
8045.6,15,Clapping Start,Audience,First_Clap,438,10032,9679.5,8045.1
8045.6,15,Musicians start to stand,Musicians,Stage_act,438,10032,,
8046.6,15,Musicians all standing,Musicians,Stage_act,439,10033,9680,8045.6
8049.6,15,Bow 1,Musicians,Stage_act,442,10036,9684,8049.6
8056.6,15,Bow 2,Musicians,Stage_act,449,10043,9691,8056.6
8062.6,15,Turn for de-equip,Musicians,Stage_act,455,10049,,
8065.6,15,Claps begin to sync,Audience,Audience_sync,458,10052,9697.7,8063.3
8065.6,15,De-equiping,Musicians,Stage_act,458,10052,,
8069.6,15,Claps in synch,Audience,Audience_sync,462,10056,9701.3,8066.9
8078.6,15,Bow 3,Musicians,Stage_act,471,10065,9713,8078.6
8088.6,15,Bow 4,Musicians,Stage_act,481,10075,9723,8088.6
8091.6,15,Start to leave stage,Musicians,Stage_act,484,10078,9726,8091.6
8101.6,15,Off stage,Musicians,Stage_act,494,10088,9733,8098.6
8113.6,15,Musicians enter hall,Musicians,Stage_act,506,10100,9750,8115.6
8122.6,15,Bow 5,Musicians,Stage_act,515,10109,9757,8122.6
8132.6,15,Bring up MC,MC,Stage_act,525,10119,,
8139.6,15,Bow 6,Musicians,Stage_act,532,10126,9774,8139.6
8142.6,15,Start to leave stage,Musicians,Stage_act,535,10129,9776,8141.6
8148.6,15,Out of sight,Musicians,Stage_act,541,10135,9783,8148.6
8152.6,15,Clapping End,Audience,Last_Clap,545,10139,9786.5,8152.06
