TIME,LABEL
7.0, Stand
11.0, Bow
16.0, Team
20.0, Bow
24.0, De-equipe
41.0, Bow
53.0, Leaving
61.0, Offstage
76.0, Returning
85.0, Bow
93.0, Team
101.0, Bow
108.0, Leaving
111.0, Offstage
