index,start_time,end_time,duration,avr_rms_entire,avr_rms,mean,median,std,median_interclap_interval
005093c6-7880-8728-1256-26822f05cfb0,00:00:08.000000,00:01:54.260000,106.26,3.0660462091522884,17.817920061400713,14.904828763137687,10.926872729070077,11.216030832086439,0.34
01393de0-e72e-5e80-f06f-8fdb5d0080cb,00:00:07.200000,00:01:59.760000,112.56,3.139050108231754,19.699190892911886,17.659386437132145,16.135830656727926,10.021511982185297,0.36
01d00c32-d4dc-8ce6-353c-43143401adf3,00:00:08.900000,00:01:50.620000,101.72,2.9004413482028433,28.522850352375393,22.33908407138009,14.401702777897244,18.55364981347739,0.34
03fcbb15-14c6-b806-80b8-e2c161654dd6,,,,2.0422560144615987,,,,,
04e20480-91d3-cd85-3470-8656b157978f,00:00:08.780000,00:01:51.120000,102.34,2.150436065325608,12.986847963355633,11.84690588211405,10.691746198068435,8.492826724671017,0.32
053bd8a0-2ed7-46e9-c088-8eaea2448192,00:00:07.580000,00:01:54.360000,106.78,1.9030792471733,20.65922986467682,17.129962733462932,13.32929443008781,12.165371045807824,0.36
0ab9bf2b-a0c7-f823-0fde-6295eedb207e,00:00:07.900000,00:02:00.420000,112.52,3.290343737780319,13.8761519653745,12.570071592090919,10.454489608922106,8.422762046295936,0.34
195bb6e0-55ec-d521-d69e-7bfa7cf86b9a,00:00:08.080000,00:01:27.780000,79.7,2.0508833518402416,22.94482746674868,20.789702375366133,14.178175251774222,18.204498582921087,0.36
1a9a903b-9524-f8c2-a943-81a108880e46,00:00:06.720000,00:01:46.640000,99.92,2.4389037173914216,18.509453038051916,16.05017470222376,12.77111382319599,10.102177571390708,0.36
1f6cba0e-36f5-b0c4-8117-00e1608ad7c3,00:01:11.380000,00:01:40.360000,28.98,2.4134718671225213,37.71792633497839,23.73454524337837,2.1431503666856404,79.38916680825544,1.02
20395f60-420d-ad45-5d8e-11674c5d174c,00:00:07.180000,00:01:46.780000,99.6,2.1275937158314275,9.442231230594787,8.840303060338085,7.252178916837798,7.019156720361963,0.34
21a7c459-6987-302c-0945-5e6d691a6bb9,00:00:07.420000,00:00:45.220000,37.8,2.3925188801606034,16.595215483381953,13.431701341026981,10.144692102010945,20.010556755354127,0.42
24ae5e42-8442-d093-94b9-7ed4f9daf5dd,00:00:07.440000,00:01:50.840000,103.4,2.1654469208418647,22.681803989173513,20.914748137947548,19.047237118776046,12.756538683229186,0.34
25decfa4-d6e0-d757-722e-0f9db423fc2d,,,,2.360515610707898,,,,,
278e797b-f81d-27bc-0ab5-7763b027915a,00:00:07.180000,00:01:59.840000,112.66,2.854093395412304,19.126450909633338,15.68164548833051,10.477164839789305,12.62595511039432,0.34
28b71da8-4c96-556c-6281-c70af25020b6,00:00:07.340000,00:02:00.000000,112.66,2.560602823633234,18.89558638106999,17.509714077658064,12.884067834188588,14.647192938521956,0.32
2b36bb42-2be3-9075-0de9-1cc9d3480a55,00:00:08.340000,00:01:51.500000,103.16,1.8643267455306192,9.421188924726462,7.932741126198176,5.952250834336443,5.769176225020889,0.34
2db31f15-6d47-da79-ab6a-02b55c6d065b,00:00:07.760000,00:02:00.480000,112.72,2.5424879296657514,11.9108243152638,10.372875512882727,8.939086926497502,6.767236741633973,0.32
