,Clap_Count,ICI Median,Average Rate,ICI STD,ICI in quarts,Initial ICI Median,Initial ICI in quarts,Type,Instance,Participant
0,36,0.2400000000000002,4.05405405405405,0.010289915108550582,0.019999999999999574,,,Entrance,0,ADQ001
1,27,0.3600000000000003,2.211126961483594,0.2846601444696154,0.21500000000000075,0.6900000000000004,0.6049999999999998,Entrance,0,ADQ002
2,51,0.2599999999999998,3.888888888888891,0.0076289618036177315,0.009999999999999565,0.2500000000000002,0.03000000000000036,Entrance,0,ADQ003
3,39,0.2850000000000006,2.790697674418603,0.324475049843612,0.022499999999998632,,,Entrance,0,ADQ004
4,39,0.28000000000000025,3.353658536585368,0.06351875340898969,0.010000000000000231,,,Entrance,0,ADQ005
5,28,0.29499999999999904,3.3794162826420884,0.02462269392810327,0.03000000000000025,0.2599999999999999,0.0,Entrance,0,ADQ006
6,40,0.30500000000000016,3.222094361334869,0.011700630833624222,0.019999999999998908,0.33000000000000007,0.010000000000000675,Entrance,0,ADQ007
7,40,0.2400000000000002,3.90334572490706,0.06967612148191013,0.0,,,Entrance,0,ADQ008
8,39,0.33999999999999986,2.944269190325973,0.015511559096637102,0.015000000000000568,0.3199999999999994,0.009999999999999787,Entrance,0,ADQ009
9,34,0.33999999999999986,2.896725440806047,0.01038773980902089,0.009999999999999787,,,Entrance,0,ADQ010
10,43,0.3200000000000003,2.700348432055749,0.17352202302047492,8.881784197001252e-16,0.8199999999999994,0.9200000000000004,Entrance,0,ADQ011
11,33,0.3599999999999999,2.7870680044593077,0.00525991127935334,8.881784197001252e-16,,,Entrance,0,ADQ012
12,17,0.28000000000000025,3.5555555555555536,0.0049999999999996705,1.7763568394002505e-15,,,Entrance,0,ADQ013
13,34,0.27000000000000046,3.3898305084745766,0.09850066473065501,0.054999999999999716,,,Entrance,0,ADQ014
14,19,0.47999999999999954,1.594746716697937,0.5541182715120748,0.6600000000000001,,,Entrance,0,ADQ015
15,38,0.28000000000000025,3.5911602209944733,0.008805592628464143,1.7763568394002505e-15,0.28000000000000025,0.0,Entrance,0,ADQ016
16,37,0.28000000000000025,2.9103608847497116,0.12802603901811024,0.08000000000000007,,,Entrance,0,ADQ019
17,27,0.3000000000000007,3.355704697986575,0.005231483637805824,1.7763568394002505e-15,,,Entrance,0,ADQ020
18,31,0.28000000000000114,3.5656401944894625,0.01987515144650863,0.03749999999999998,0.2400000000000002,0.0,Entrance,0,ADQ021
19,35,0.33499999999999996,2.9556650246305436,0.021400257346413896,0.03249999999999997,,,Entrance,0,ADQ022
20,28,0.2599999999999998,3.093922651933702,0.1308392729417105,0.020000000000000462,0.27,0.020000000000000462,Entrance,0,ADQ023
21,24,0.33999999999999986,2.593360995850623,0.16874734565813684,0.049999999999998934,,,Entrance,0,ADQ024
22,32,0.33999999999999986,2.9829545454545467,0.01965172959793786,0.02999999999999936,,,Entrance,0,ADQ025
23,38,0.3800000000000008,2.4544734758511466,0.18539988748532157,0.11500000000000021,0.5699999999999998,0.7399999999999999,Entrance,0,ADQ026
24,47,0.3200000000000003,3.1590413943355116,0.019689711248873906,0.03999999999999915,0.28000000000000025,0.019999999999999574,Entrance,0,ADQ027
25,36,0.3600000000000012,2.7932960893854784,0.03415650255319852,0.02999999999999936,,,Entrance,0,ADQ028
26,40,0.3199999999999994,2.990430622009572,0.10222850222255385,0.02000000000000135,,,Entrance,0,ADQ029
27,44,0.2599999999999998,3.8034865293185427,0.019444271910897665,0.009999999999999787,,,Entrance,0,ADQ030
28,31,0.3000000000000007,3.3377837116154825,0.01719496050203835,0.020000000000000462,,,Entrance,0,ADQ031
29,38,0.29999999999999893,2.6862026862026847,0.3013925113327233,0.01749999999999985,,,Entrance,0,ADQ032
30,19,0.28000000000000025,3.6231884057970962,0.007367883976130381,0.005000000000001226,,,Entrance,0,ADQ033
31,22,0.4399999999999995,2.30366492146597,0.03787939393454551,0.027499999999999414,,,Entrance,0,ADQ034
32,20,0.45999999999999996,2.1582733812949644,0.132413493773608,0.23999999999999844,,,Entrance,0,ADQ035
33,42,0.2999999999999998,3.333333333333335,0.022013981571160347,0.020000000000000462,0.3799999999999999,0.0,Entrance,0,ADQ036
34,12,0.6099999999999999,1.423728813559323,0.4359002725613368,0.21000000000000085,,,Entrance,0,ADQ037
35,32,0.2699999999999996,3.0339805825242725,0.16084360934356906,0.03999999999999826,,,Entrance,0,ADQ038
36,20,0.5600000000000005,1.8243243243243246,0.1834506229319788,0.10999999999999943,0.4399999999999995,0.0,Entrance,0,ADQ039
37,28,0.2999999999999998,3.4267912772585634,0.009579921282291052,0.02000000000000024,,,Entrance,0,ADQ040
38,28,0.2599999999999998,2.0833333333333344,0.6089991789813843,4.440892098500626e-16,,,Entrance,0,ADQ041
39,18,0.5199999999999996,1.9851116625310177,0.0553624421426656,0.035000000000001474,,,Entrance,0,ADQ042
40,44,0.28000000000000114,3.5714285714285645,0.01203443335628623,1.3322676295501878e-15,0.2600000000000007,0.019999999999999574,Entrance,0,ADQ043
