,start_time,end_time,duration,start_datetime,Type,Type_M,Texture,event_tag,Applause_N,cue_start_time,cue_start_type,cue_time2start,cue_end_time,cue_end_type,cue_time2end,stage_next_time,stage_next_type,stage_next_time2,files,links,Links_time(s),Vid_times,Links_ctime(s),Ratio clapping,Median number of Claps,STD number of Claps,Median L ICI P Median,Median L ICI P STD,STD L ICI P Median,STD L ICI P STD,Starting L ICI P Median,Starting L ICI P STD,Starting L ICI Quart P Mean,5s ICI Median P Median,5s ICI Median P STD,5s ICI Quart P Median,5s ICI Quart P STD,5-10s ICI Median P Median,5-10s ICI Median P STD,5-10s ICI Quart P Median,5-10s ICI Quart P STD,First clap P Quart,Last clap P Quart
0,-691.2,-674.1,17.100000000000023,2021-10-26 17:36:34.800,Entrance,Other,Independent,Entre 1,1,-692.2,Musicians enter hall,1.0,-677.2,Musician toward mic,3.1000000000000227,-673.1,Start to speak,-1.0,Applause_1_entre_1_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=1294,1294,0,-692,0.9411764705882353,38.0,9.998536285282025,0.3000000000000007,0.06567938524049695,0.06984886660136883,0.14141241007826094,0.3,0.11077660265689024,0.08053125000000011,0.2999999999999998,0.07878890980139458,0.03500000000000103,0.07772377416069365,0.3100000000000005,0.15788411479101716,0.03999999999999915,0.09529600785932239,1.68,2.1400000000000006
1,-555.9,-548.6,7.299999999999954,2021-10-26 17:38:50.100,Speech,Other,Independent,Speech 1,2,-556.1,Last word V,0.2000000000000454,-551.9,MC at Mic,3.2999999999999545,-550.6,MC starts talking,2.0,Applause_2_speech_1_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=1430,1430,25,-556,0.8705882352941177,17.0,4.088909155531801,0.2999999999999998,0.07882689971370584,0.04291778843682982,0.08419359449807039,0.2999999999999998,0.07882689971370584,0.040371621621621626,0.31499999999999995,0.14931086285409295,0.03000000000000047,0.1584240313251077,,,,,0.62,1.4399999999999995
2,30.6,40.1,9.5,2021-10-26 17:48:36.600,Speech,Other,Independent,Speech 2,3,31.0,Last word MC,-0.3999999999999986,38.0,Violinist pick up instrument,2.1000000000000014,38.0,Violinist pick up instrument,2.1000000000000014,Applause_3_speech_2_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=2018,2018,41,32,0.9176470588235294,21.0,6.138212742945269,0.30500000000000016,0.061448189892067746,0.04740315204213126,0.14926433895557326,0.3000000000000001,0.06308492523739555,0.05610389610389618,0.3199999999999994,0.43328250397263535,0.04000000000000026,0.20434661454130068,,,,,1.06,1.5200000000000005
3,1610.6,1652.1,41.5,2021-10-26 18:14:56.600,Music,Music,Mixed,Beethoven,4,1609.6,Release instruments,1.0,1626.6,Start to leave stage,25.5,1642.2,MC starts talking,9.899999999999864,Applause_4_beethoven_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=3596,3596,57,1610,0.9529411764705882,100.0,22.5648927034021,0.3200000000000003,0.05553388466224016,0.06380133036306973,0.09659959653860228,0.2999999999999998,0.072826902419706,0.04984567901234576,0.3000000000000007,0.06450021533125132,0.02000000000000135,0.04738981697671354,0.3200000000000003,0.05930487249151254,0.02999999999999936,0.05752059480882001,1.2000000000000002,6.18
4,2004.8,2016.1,11.299999999999956,2021-10-26 18:21:30.800,Entrance,Other,Independent,Entre 2,5,2004.8,Musicians enter hall,0.0,2012.8,Begin to sit down,3.2999999999999545,2012.8,Begin to sit down,3.2999999999999545,Applause_5_entre_2_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=3990,3990,107,2004,0.6,20.0,8.794294050299731,0.2999999999999998,0.08371731144329778,0.153312628001616,0.17600028852429056,0.3,0.13962217925951617,0.134264705882353,0.30000000000000027,0.11606355284635961,0.07999999999999985,0.23331348615785,0.2999999999999998,0.07692356497514172,0.02999999999999936,0.05204892803018055,6.359999999999999,5.640000000000001
5,3282.6,3342.7,60.09999999999991,2021-10-26 18:42:48.600,Music,Music,Mixed,Schnittke,6,3278.9,Release instruments,3.699999999999818,3336.6,Start to leave stage,6.099999999999909,3344.7,MC at mic,-2.0,Applause_6_schnittke_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=5251,5251,127,3265,0.8705882352941177,133.5,34.85821495636954,0.3200000000000003,0.06659531616236158,0.09322861358907669,0.11066894231653658,0.3050000000000006,0.10087699846083023,0.06844594594594604,0.32000000000000006,0.22994794266970106,0.029999999999999805,0.2395924319562372,0.3200000000000003,0.09654791162404809,0.03000000000000025,0.15299443265405271,2.0199999999999996,2.6400000000000006
6,5001.92,5019.5,17.579999999999927,2021-10-26 19:11:27.920,Entrance,Other,Independent,Entre 3,7,5001.92,Musicians enter hall,0.0,5014.92,Begin to sit down,4.579999999999927,5019.9,MC starts talking,-0.3999999999996362,Applause_7_entre_3_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=6990,6990,212,5004,0.7411764705882353,32.0,10.118372616864951,0.3200000000000003,0.08897788203853518,0.08541989896847772,0.18782984317775978,0.3250000000000001,0.15946756664685346,0.11591269841269852,0.3200000000000003,0.2842967548332959,0.05999999999999872,0.2539299847565662,0.3200000000000003,0.3161590697371327,0.040000000000000924,0.09983018368094135,8.5,6.799999999999999
7,6020.1,6042.1,22.0,2021-10-26 19:28:26.100,Music,Music,Independent,Bach,8,6017.2,Release instruments,2.9000000000005457,6037.1,MC towards mic,5.0,6041.1,MC starts talking,1.0,Applause_8_bach_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=7996,7996,237,6010,0.9176470588235294,51.5,12.960839092564571,0.3125000000000001,0.0751482052164436,0.051271090010997174,0.1144272236597523,0.3050000000000006,0.08972702964895278,0.06858974358974342,0.3000000000000007,0.5338117549727575,0.0400000000000007,0.17716968630203328,0.3199999999999985,0.16398406137643134,0.040000000000000924,0.1265051553905864,1.48,2.419999999999998
8,6759.1,6776.2,17.099999999999454,2021-10-26 19:40:45.100,Music,Music,Independent,Folk 1,9,6756.9,Last note,2.200000000000728,6774.1,Violinist ready to play,2.0999999999994543,6776.7,Violinist plays,-0.5,Applause_9_folk_1_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=8741,8741,273,6755,0.8823529411764706,39.0,10.275046305325178,0.3000000000000007,0.07262441949032229,0.039575706678969036,0.12019112769106481,0.29999999999999993,0.06655946335542498,0.04723333333333351,0.3000000000000007,0.0903293273936399,0.03999999999999915,0.049864952757558055,0.3200000000000003,0.2765061137411395,0.03999999999999915,0.35241431624436675,1.2000000000000002,2.4800000000000004
9,6933.4,6952.6,19.200000000000728,2021-10-26 19:43:39.400,Music,Music,Independent,Folk 2,10,6931.9,Last note,1.5,6940.4,Violinist towards mic,12.200000000000728,6952.9,Violinist begins to speak,-0.2999999999992724,Applause_10_folk_2_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=8918,8918,303,6932,0.8470588235294118,47.0,11.75292558390921,0.31749999999999967,0.06009052736391346,0.054245564814260586,0.0970443256285158,0.30000000000000016,0.05851409785587844,0.047048611111111,0.31000000000000005,0.06349067961827412,0.03499999999999992,0.042539365128232184,0.3200000000000003,0.06519948167488668,0.03999999999999915,0.0699688985633555,1.2,2.3000000000000007
