,start_time,end_time,duration,start_datetime,Type,Type_M,Texture,event_tag,Applause_N,cue_start_time,cue_start_type,cue_time2start,cue_end_time,cue_end_type,cue_time2end,stage_next_time,stage_next_type,stage_next_time2,files,links,Links_time(s),Vid_times,Links_ctime(s)
0,-688.4,-672.4,16.0,2021-10-26 17:36:37.600,Entrance,Other,Independent,Entre 1,1,-689.4,Musicians enter hall,1.0,-674.4,Musician toward mic,2.0,-670.4,Start to speak,-2.0,Applause_1_entre_1_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=1294,1294,0,-692
1,-553.4,-546.4,7.0,2021-10-26 17:38:52.600,Speech,Other,Independent,Speech 1,2,-554.4,Last word V,1.0,-549.4,MC at Mic,3.0,-547.4,MC starts talking,1.0,Applause_2_speech_1_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=1430,1430,25,-556
2,33.6,42.6,9.0,2021-10-26 17:48:39.600,Speech,Other,Independent,Speech 2,3,33.6,Last word MC,0.0,40.6,Violinist pick up instrument,2.0,40.6,Violinist pick up instrument,2.0,Applause_3_speech_2_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=2018,2018,41,32
3,1613.6,1654.6,41.0,2021-10-26 18:14:59.600,Music,Music,Mixed,Beethoven,4,1612.6,Release instruments,1.0,1629.6,Start to leave stage,25.0,1644.6,MC starts talking,10.0,Applause_4_beethoven_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=3596,3596,57,1610
4,2009.6,2019.6,10.0,2021-10-26 18:21:35.600,Entrance,Other,Independent,Entre 2,5,2009.6,Musicians enter hall,0.0,2017.6,Begin to sit down,2.0,2017.6,Begin to sit down,2.0,Applause_5_entre_2_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=3990,3990,107,2004
5,3285.6,3345.6,60.0,2021-10-26 18:42:51.600,Music,Music,Mixed,Schnittke,6,3283.6,Release instruments,2.0,3339.6,Start to leave stage,6.0,3347.6,MC at mic,-2.0,Applause_6_schnittke_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=5251,5251,127,3265
6,5005.6,5021.6,16.0,2021-10-26 19:11:31.600,Entrance,Other,Independent,Entre 3,7,5005.6,Musicians enter hall,0.0,5018.6,Begin to sit down,3.0,5022.6,MC starts talking,-1.0,Applause_7_entre_3_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=6990,6990,212,5004
7,6022.6,6044.6,22.0,2021-10-26 19:28:28.600,Music,Music,Independent,Bach,8,6020.6,Release instruments,2.0,6039.6,MC towards mic,5.0,6044.6,MC starts talking,0.0,Applause_8_bach_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=7996,7996,237,6010
8,6761.6,6778.6,17.0,2021-10-26 19:40:47.600,Music,Music,Independent,Folk 1,9,6759.6,Last note,2.0,6776.6,Violinist ready to play,2.0,6779.6,Violinist plays,-1.0,Applause_9_folk_1_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=8741,8741,273,6755
9,6935.6,6955.6,20.0,2021-10-26 19:43:41.600,Music,Music,Independent,Folk 2,10,6934.6,Last note,1.0,6942.6,Violinist towards mic,13.0,6955.6,Violinist begins to speak,0.0,Applause_10_folk_2_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=8918,8918,303,6932
10,7172.6,7191.6,19.0,2021-10-26 19:47:38.600,Music,Music,Independent,Folk 3,11,7170.6,Last note,2.0,7184.6,Violinist towards mic,7.0,7192.6,Violinist begins to speak,-1.0,Applause_11_folk_3_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=9154,9154,329,7168
11,7540.6,7555.6,15.0,2021-10-26 19:53:46.600,Music,Music,Independent,Folk 4,12,7537.6,Release instruments,3.0,7552.6,Violinist toward mic,3.0,7556.6,Violinist begins to speak,-1.0,Applause_12_folk_4_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=9509,9509,355,7523
12,7751.6,7764.6,13.0,2021-10-26 19:57:17.600,Music,Music,Independent,Folk 5,13,7750.6,Release instruments,1.0,7759.6,Violinist toward mic,5.0,7765.6,Violinist begins to speak,-1.0,Applause_13_folk_5_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=9731,9731,390,7745
13,7777.6,7781.6,4.0,2021-10-26 19:57:43.600,Speech,Other,Independent,Speech 3,14,7774.6,Violinist Step away,3.0,7780.6,MC starts talking,1.0,7780.6,MC starts talking,1.0,Applause_14_speech_3_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=9753,9753,412,7767
14,8045.6,8152.6,107.0,2021-10-26 20:02:11.600,Music,Music,Synched,Finale,15,8044.6,Last note,1.0,8142.6,Start to leave stage,10.0,8148.6,Out of sight,4.0,Applause_15_finale_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=10026,10026,432,8040
